beat,p1,p2,p3,period,y,beat_error,rate_deviation,lift_time,amplitude
1,0.03016000000000064,0.034960000000000636,0.04264000000000064,?,0,?,?,0.012480000000000002,223.1005400148018
2,0.19736000000000065,0.20168000000000066,0.20920000000000066,0.16720000000000002,0.0005333333333333579,?,?,0.011840000000000017,234.9426162398417
3,0.3634400000000007,0.3680800000000007,0.3760800000000007,0.16608000000000006,-5.333333333323864e-05,0.0005599999999999772,?,0.012639999999999985,220.32911325054158
4,0.5308000000000006,0.5351200000000007,0.5424800000000006,0.1673599999999999,0.0006400000000000017,0.0006399999999999184,13.824000000018621,0.011680000000000024,238.10776585756085
5,0.6967200000000007,0.7015200000000007,0.7095200000000007,0.16592000000000007,-0.0001066666666665883,0.0007199999999999152,13.823999999989844,0.012800000000000034,217.62765196638762
6,0.8640800000000006,0.8684000000000007,0.8757600000000006,0.16735999999999995,0.0005866666666667075,0.0007199999999999429,-27.647999999994077,0.011680000000000024,238.10776585756085
7,1.030000000000001,1.0349600000000008,1.0428000000000008,0.1659200000000003,-0.00015999999999966041,0.0007199999999998319,-27.647999999922135,0.012799999999999923,217.62765196638946
8,1.1973600000000009,1.2020000000000008,1.2090400000000008,0.16735999999999995,0.0005333333333336354,0.0007199999999998319,-27.64799999986458,0.011679999999999913,238.1077658575631
9,1.3634400000000009,1.3680800000000009,1.3751200000000008,0.16608,-5.33333333330166e-05,0.0006399999999999739,13.824000000061787,0.011679999999999913,238.1077658575631
10,1.5308000000000008,1.5348000000000008,1.5424800000000007,0.16735999999999995,0.0006400000000002792,0.0006399999999999739,55.295999999988155,0.011679999999999913,238.1077658575631
11,1.696720000000001,1.7015200000000008,1.7093600000000009,0.16592000000000007,-0.00010666666666631075,0.0007199999999999429,13.824000000004233,0.012639999999999985,220.32911325054158
12,1.8640800000000008,1.8685600000000009,1.875920000000001,0.16735999999999995,0.0005866666666669851,0.0007199999999999429,-27.64799999997969,0.011840000000000073,234.94261623984062
13,2.0300000000000007,2.0349600000000008,2.0429600000000008,0.16591999999999985,-0.00015999999999982695,0.0007200000000000539,-27.648000000037243,0.012960000000000083,214.99356552176292
14,2.197360000000001,2.2018400000000007,2.209040000000001,0.1673600000000004,0.000533333333333913,0.000720000000000276,-27.64799999997969,0.01167999999999969,238.10776585756759
15,2.363440000000001,2.368240000000001,2.376240000000001,0.16608,-5.333333333273904e-05,0.000640000000000196,13.824000000176895,0.012799999999999923,217.62765196638946
16,2.530640000000001,2.535280000000001,2.542640000000001,0.1671999999999998,0.0004800000000003968,0.0005599999999998939,13.824000000061787,0.01200000000000001,231.86259225176735
17,2.6965600000000007,2.701520000000001,2.709360000000001,0.16591999999999985,-0.00026666666666641525,0.0006399999999999739,-69.12000000013627,0.012800000000000367,217.62765196638205
18,2.863920000000001,2.868560000000001,2.875920000000001,0.1673600000000004,0.00042666666666732467,0.000720000000000276,-69.12000000002116,0.01200000000000001,231.86259225176735
19,3.030000000000001,3.034800000000001,3.042640000000001,0.16608,-0.00015999999999932735,0.000640000000000196,13.824000000176895,0.012639999999999763,220.3291132505454
20,3.197200000000001,3.201840000000001,3.209360000000001,0.1671999999999998,0.00037333333333380847,0.0005599999999998939,13.824000000061787,0.01216000000000017,228.86433434129043
21,3.363280000000001,3.367920000000001,3.375600000000001,0.16608,-0.00021333333333284354,0.0005599999999998939,-27.648000000094797,0.012319999999999887,225.94465748792422
22,3.530640000000001,3.534960000000001,3.542640000000001,0.16735999999999995,0.0004800000000004523,0.0006399999999999739,13.823999999946679,0.01200000000000001,231.86259225176735
23,3.696560000000001,3.701360000000001,3.709200000000001,0.1659200000000003,-0.00026666666666591565,0.0007199999999998319,13.824000000061787,0.012639999999999763,220.3291132505454
24,3.863920000000001,3.868400000000001,3.875920000000001,0.16735999999999995,0.0004266666666673802,0.0007199999999998319,-27.64799999986458,0.01200000000000001,231.86259225176735
25,4.029840000000001,4.0346400000000004,4.04248,0.16591999999999985,-0.00031999999999943185,0.0007200000000000539,-27.64799999997969,0.012639999999999318,220.32911325055298
26,4.1972000000000005,4.2016800000000005,4.209040000000001,0.1673599999999995,0.0003733333333334199,0.0007199999999998319,-27.648000000209905,0.011840000000000295,234.94261623983624
27,4.363600000000001,4.368080000000001,4.375920000000001,0.16640000000000033,0.0001066666666670879,0.00047999999999959186,96.76799999979941,0.012319999999999887,225.94465748792422
28,4.530480000000001,4.534800000000001,4.542320000000001,0.16687999999999992,0.0003200000000003478,0.00023999999999979593,96.76800000002963,0.011840000000000295,234.94261623983624
29,4.696400000000001,4.7007200000000005,4.709040000000001,0.16591999999999985,-0.00042666666666646424,0.00048000000000003595,-152.063999999989,0.012640000000000207,220.3291132505378
30,4.863760000000001,4.868240000000001,4.8757600000000005,0.1673600000000004,0.0002666666666672757,0.000720000000000276,-152.063999999989,0.011999999999999567,231.86259225177577
31,5.029840000000001,5.0346400000000004,5.04248,0.16608,-0.00031999999999937634,0.000640000000000196,13.824000000176895,0.012639999999999318,220.32911325055298
32,5.1972000000000005,5.20152,5.209040000000001,0.1673599999999995,0.0003733333333334754,0.0006399999999997519,55.295999999988155,0.011840000000000295,234.94261623983624
33,5.36312,5.367920000000001,5.3757600000000005,0.16591999999999985,-0.0003733333333333366,0.0007199999999998319,13.823999999716463,0.012640000000000207,220.3291132505378
34,5.530480000000001,5.534800000000001,5.542160000000001,0.1673600000000004,0.0003200000000004033,0.000720000000000276,-27.648000000094797,0.011680000000000135,238.10776585755866
35,5.696400000000001,5.701200000000001,5.709200000000001,0.16591999999999985,-0.00042666666666640873,0.000720000000000276,-27.64799999986458,0.012800000000000367,217.62765196638205
36,5.863760000000001,5.868080000000001,5.8757600000000005,0.1673600000000004,0.0002666666666673312,0.000720000000000276,-27.64799999986458,0.011999999999999567,231.86259225177577
37,6.029840000000001,6.0346400000000004,6.0426400000000005,0.16608,-0.00031999999999932083,0.000640000000000196,13.824000000176895,0.012799999999999478,217.62765196639685
38,6.197040000000001,6.20152,6.209040000000001,0.16720000000000024,0.00021333333333425908,0.000560000000000116,13.824000000176895,0.011999999999999567,231.86259225177577
39,6.363120000000001,6.367920000000001,6.374640000000001,0.16608,-0.00037333333333239294,0.000560000000000116,-27.64799999986458,0.011519999999999975,241.3615873087425
40,6.530480000000001,6.534960000000001,6.542320000000001,0.1673599999999995,0.0003200000000004588,0.0006399999999997519,13.823999999946679,0.011840000000000295,234.94261623983624
41,6.696400000000001,6.701360000000001,6.709200000000001,0.16591999999999985,-0.0004266666666663532,0.0007199999999998319,13.823999999716463,0.012800000000000367,217.62765196638205
42,6.863760000000001,6.868240000000001,6.8757600000000005,0.1673600000000004,0.0002666666666673867,0.000720000000000276,-27.648000000094797,0.011999999999999567,231.86259225177577
43,7.029680000000001,7.0346400000000004,7.0426400000000005,0.16591999999999985,-0.00047999999999942533,0.000720000000000276,-27.64799999986458,0.012959999999999638,214.99356552177014
44,7.197040000000001,7.201520000000001,7.208880000000001,0.1673600000000004,0.0002133333333343146,0.000720000000000276,-27.64799999986458,0.011839999999999407,234.94261623985358
45,7.363120000000001,7.368080000000001,7.376080000000001,0.16608,-0.0003733333333323374,0.000640000000000196,13.824000000176895,0.012959999999999638,214.99356552177014
46,7.530320000000001,7.534960000000001,7.542480000000001,0.16719999999999935,0.0001600000000003543,0.0005599999999996719,13.823999999946679,0.012160000000000615,228.86433434128222
47,7.696400000000001,7.701200000000001,7.709200000000001,0.16608,-0.0004266666666662977,0.0005599999999996719,-27.648000000325013,0.012800000000000367,217.62765196638205
48,7.863760000000001,7.868240000000001,7.875600000000001,0.1673600000000004,0.0002666666666674422,0.000640000000000196,13.823999999946679,0.011840000000000295,234.94261623983624
49,8.029680000000003,8.034480000000002,8.042320000000002,0.16592000000000162,-0.00047999999999759346,0.0007199999999993878,13.824000000637326,0.012639999999999318,220.32911325055298
50,8.197040000000001,8.201520000000002,8.209200000000003,0.16735999999999862,0.0002133333333343701,0.0007199999999984996,-27.64799999940415,0.012160000000001503,228.86433434126576
51,8.363120000000002,8.367760000000002,8.375120000000003,0.1660800000000009,-0.00037333333333139374,0.0006399999999988637,13.823999999946679,0.012000000000000455,231.8625922517589
52,8.530320000000001,8.534800000000002,8.542320000000002,0.16719999999999935,0.000160000000001298,0.0005599999999992278,13.823999999946679,0.012000000000000455,231.8625922517589
53,8.696400000000002,8.701200000000002,8.708880000000002,0.1660800000000009,-0.00042666666666446584,0.0005599999999992278,-27.64799999986458,0.012480000000000047,223.10054001480097
54,8.863760000000003,8.868080000000003,8.874960000000002,0.1673600000000004,0.0002666666666692741,0.0006399999999997519,13.82400000040711,0.011199999999998766,248.1504437791301
55,9.029680000000003,9.034480000000002,9.042320000000002,0.16591999999999985,-0.00047999999999753795,0.000720000000000276,13.82400000040711,0.012639999999999318,220.32911325055298
56,9.197040000000001,9.201520000000002,9.208880000000002,0.16735999999999862,0.0002133333333344256,0.0007199999999993878,-27.648000000325013,0.011840000000001183,234.94261623981893
57,9.363280000000001,9.367920000000002,9.375600000000002,0.16624000000000017,-0.0002133333333320664,0.0005599999999992278,55.29599999929751,0.012320000000000775,225.94465748790822
58,9.530320000000001,9.534640000000001,9.542160000000003,0.16704000000000008,0.0001600000000013535,0.00039999999999995595,55.29599999975794,0.011840000000001183,234.94261623981893
59,9.696400000000002,9.701200000000002,9.708720000000001,0.1660800000000009,-0.00042666666666441033,0.00047999999999959186,-69.11999999967584,0.012319999999998998,225.94465748794022
60,9.863760000000003,9.868080000000003,9.875600000000002,0.1673600000000004,0.0002666666666693296,0.0006399999999997519,-27.64799999940415,0.011839999999999407,234.94261623985358
61,10.029680000000003,10.034480000000002,10.042160000000003,0.16591999999999985,-0.00047999999999748244,0.000720000000000276,13.82400000040711,0.012480000000000047,223.10054001480097
62,10.197040000000001,10.201200000000002,10.208880000000002,0.16735999999999862,0.00021333333333448112,0.0007199999999993878,-27.648000000325013,0.011840000000001183,234.94261623981893
63,10.362960000000003,10.367760000000002,10.375600000000002,0.16592000000000162,-0.0005333333333305545,0.0007199999999984996,-27.648000000325013,0.012639999999999318,220.32911325055298
64,10.530320000000001,10.534640000000001,10.542160000000003,0.16735999999999862,0.00016000000000140902,0.0007199999999984996,-27.64799999986458,0.011840000000001183,234.94261623981893
65,10.696240000000001,10.701200000000002,10.709040000000002,0.16591999999999985,-0.000586666666665403,0.0007199999999993878,-27.648000000325013,0.012800000000000367,217.62765196638205
66,10.863600000000002,10.867920000000002,10.875440000000003,0.1673600000000004,0.00010666666666833691,0.000720000000000276,-27.648000000325013,0.011840000000001183,234.94261623981893
67,11.029680000000003,11.034640000000001,11.042480000000001,0.1660800000000009,-0.00047999999999742693,0.0006399999999997519,13.82400000040711,0.01279999999999859,217.62765196641163
68,11.197040000000001,11.201360000000003,11.208720000000001,0.16735999999999862,0.00021333333333453663,0.0006399999999988637,55.29600000021837,0.011680000000000135,238.10776585755866
