beat,p1,p2,p3,period,y,beat_error,rate_deviation,lift_time,amplitude
1,0.07176000000000064,0.07496000000000064,0.08120000000000065,?,0,?,?,0.009440000000000004,299.4311577713126
2,0.23944000000000065,0.24280000000000065,0.24984000000000064,0.16768,0.0010133333333333383,?,?,0.010399999999999993,272.09879972047594
3,0.40520000000000067,0.4087200000000007,0.4159200000000007,0.16576000000000002,0.00010666666666669933,0.0009599999999999886,?,0.010720000000000007,264.0823966342044
4,0.5728800000000006,0.5764000000000007,0.5834400000000006,0.16767999999999994,0.0011199999999999821,0.0009599999999999609,55.29600000000254,0.010560000000000014,268.0294528904486
5,0.7386400000000006,0.7420000000000007,0.7492000000000006,0.16576000000000002,0.00021333333333334314,0.0009599999999999609,55.295999999988155,0.010560000000000014,268.0294528904486
6,0.9063200000000007,0.9095200000000007,0.9165600000000007,0.16768000000000005,0.001226666666666737,0.0009600000000000164,55.29600000001693,0.010240000000000027,276.2961687860839
7,1.0722400000000007,1.0756000000000008,1.0828000000000009,0.16592000000000007,0.000480000000000147,0.0008799999999999919,96.76800000005841,0.010560000000000125,268.0294528904459
8,1.2397600000000009,1.2429600000000007,1.2501600000000008,0.1675200000000001,0.0013333333333336028,0.0008000000000000229,96.76800000008718,0.010399999999999965,272.0987997204767
9,1.4055200000000008,1.4090400000000007,1.416080000000001,0.1657599999999999,0.0004266666666668528,0.0008800000000001029,13.824000000061787,0.010560000000000125,268.0294528904459
10,1.5732000000000008,1.576400000000001,1.5836000000000008,0.16768000000000005,0.0014400000000002466,0.0009600000000000719,13.824000000004233,0.010399999999999965,272.0987997204767
11,1.738960000000001,1.7423200000000008,1.7496800000000008,0.16576000000000013,0.0005333333333337187,0.0009599999999999609,55.29600000004571,0.01071999999999984,264.0823966342084
12,1.9066400000000008,1.9098400000000009,1.917040000000001,0.16767999999999983,0.0015466666666668905,0.0009599999999998499,55.29600000004571,0.010400000000000187,272.09879972047094
13,2.072400000000001,2.0757600000000007,2.082800000000001,0.16576000000000013,0.0006400000000003625,0.0009599999999998499,55.295999999988155,0.010400000000000187,272.09879972047094
14,2.2400800000000007,2.243280000000001,2.250160000000001,0.16767999999999983,0.0016533333333335343,0.0009599999999998499,55.295999999988155,0.010080000000000311,280.62765567553873
15,2.405840000000001,2.409360000000001,2.415600000000001,0.16576000000000013,0.0007466666666670063,0.0009599999999998499,55.295999999988155,0.009759999999999991,289.7193638915804
16,2.573520000000001,2.576880000000001,2.583920000000001,0.16768000000000027,0.0017600000000006222,0.0009600000000000719,55.29600000010326,0.010399999999999743,272.0987997204824
17,2.739280000000001,2.742480000000001,2.749040000000001,0.16575999999999969,0.0008533333333336501,0.000960000000000294,55.29600000010326,0.009759999999999991,289.7193638915804
18,2.906960000000001,2.9101600000000007,2.917040000000001,0.16768000000000027,0.001866666666667266,0.000960000000000294,55.295999999988155,0.010079999999999867,280.62765567555095
19,3.072720000000001,3.076080000000001,3.083120000000001,0.16575999999999969,0.000960000000000294,0.000960000000000294,55.295999999988155,0.010400000000000187,272.09879972047094
20,3.240400000000001,3.243600000000001,3.250640000000001,0.16768000000000027,0.00197333333333391,0.000960000000000294,55.295999999988155,0.010240000000000027,276.2961687860839
21,3.406160000000001,3.409360000000001,3.416400000000001,0.16576000000000013,0.0010666666666673819,0.0009600000000000719,55.29600000010326,0.010240000000000027,276.2961687860839
22,3.573840000000001,3.577040000000001,3.584240000000001,0.16767999999999983,0.0020800000000005536,0.0009599999999998499,55.29600000010326,0.010400000000000187,272.09879972047094
23,3.739600000000001,3.742960000000001,3.749360000000001,0.16576000000000013,0.0011733333333340257,0.0009599999999998499,55.295999999988155,0.009759999999999991,289.7193638915804
24,3.907280000000001,3.910480000000001,3.917520000000001,0.16767999999999983,0.0021866666666671974,0.0009599999999998499,55.295999999988155,0.010240000000000027,276.2961687860839
25,4.073040000000001,4.076080000000001,4.08232,0.16575999999999969,0.0012800000000002254,0.0009600000000000719,55.29599999987305,0.00927999999999951,304.5396309148095
26,4.2407200000000005,4.243920000000001,4.250800000000001,0.16767999999999983,0.002293333333333397,0.0009600000000000719,55.29599999975794,0.010080000000000311,280.62765567553873
27,4.406480000000001,4.410000000000001,4.416880000000001,0.16576000000000057,0.0013866666666673133,0.0009599999999996278,55.295999999988155,0.010399999999999743,272.0987997204824
28,4.574160000000001,4.577520000000001,4.5844000000000005,0.16767999999999983,0.002400000000000485,0.0009599999999996278,55.29600000021837,0.010239999999999583,276.2961687860958
29,4.739920000000001,4.74312,4.750160000000001,0.16575999999999969,0.001493333333333513,0.0009600000000000719,55.295999999988155,0.010240000000000471,276.29616878607214
30,4.9076,4.910800000000001,4.917680000000001,0.16767999999999983,0.002506666666666685,0.0009600000000000719,55.29599999975794,0.010080000000000311,280.62765567553873
31,5.073360000000001,5.076560000000001,5.083600000000001,0.16576000000000057,0.001600000000000601,0.0009599999999996278,55.295999999988155,0.010239999999999583,276.2961687860958
32,5.240880000000001,5.2442400000000005,5.25128,0.16751999999999967,0.0024533333333336127,0.0008799999999995478,13.824000000176895,0.010399999999999743,272.0987997204824
33,5.40664,5.409840000000001,5.416240000000001,0.16575999999999969,0.0015466666666666407,0.0008799999999999919,-27.648000000094797,0.009600000000000719,294.49387493769177
34,5.574320000000001,5.577680000000001,5.584560000000001,0.16768000000000072,0.0025600000000007006,0.000960000000000516,13.823999999946679,0.010239999999999583,276.2961687860958
35,5.740080000000001,5.743600000000001,5.750160000000001,0.16575999999999969,0.0016533333333337286,0.000960000000000516,55.29600000021837,0.010080000000000311,280.62765567553873
